Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons,tau protein
AFAP1L1,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
AFAP1L2,TRUE,FALSE,FALSE,FALSE,TRUE,2,TRUE
AGR2,TRUE,FALSE,TRUE,FALSE,TRUE,3,TRUE
AGRP,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
AHNAK,TRUE,TRUE,FALSE,FALSE,TRUE,3,FALSE
AHNAK2,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
AHSA1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AIF1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AKAP2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AKAP8,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
AKT1S1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AKT2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AKT3,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ALDH3A1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ALK,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
ALPI,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
AMDHD1,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
AMIGO2,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
ANKMY2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ANKRD11,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
ANP32E,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ANXA10,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ANXA2,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
AOC1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
AP3B1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
APBB1IP,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
APEX1,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
APIP,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ARG1,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
ARHGEF12,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
ARHGEF2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
ASGR1,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
ASPSCR1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ASS1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATAD3B,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
ATE1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
ATF1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
ATF2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
ATG16L1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATOX1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATP6AP2,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
ATP6V0D1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATP6V1F,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATP6V1G1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATP6V1G2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATRAID,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ATXN3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AXIN1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
AZI2,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
B3GNT7,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
BACE1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BACH1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BAG4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BAG5,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BAG6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BAIAP2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BANK1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BAX,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BCAN,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BCL2,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
BCL2L1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
BCL2L15,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
BCR,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
