Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons
OID50108,True,True,True,True,True,5
OID50109,True,True,True,False,True,4
OID50110,False,True,True,True,True,4
OID50111,False,False,False,False,False,0
OID50112,False,True,False,False,False,1
OID50113,False,False,False,False,False,0
OID50114,False,False,False,False,True,1
OID50115,True,True,True,True,True,5
OID50116,False,False,False,False,False,0
OID50118,False,False,True,False,False,1
OID50119,False,False,True,True,True,3
OID50120,False,False,False,True,True,2
OID50121,False,False,False,False,False,0
OID50122,True,True,True,True,True,5
OID50123,True,True,True,True,False,4
OID50124,False,False,False,True,True,2
OID50125,False,True,True,True,True,4
OID50126,True,True,True,True,True,5
OID50127,False,True,False,False,False,1
OID50129,False,False,False,False,False,0
OID50130,False,False,False,False,False,0
OID50131,False,False,False,False,False,0
OID50132,False,False,False,False,False,0
OID50133,False,True,True,True,True,4
OID50134,False,True,False,True,True,3
OID50136,False,True,True,False,False,2
OID50137,False,False,False,False,False,0
OID50138,True,False,False,False,False,1
OID50139,False,False,False,True,False,1
OID50140,True,True,True,True,True,5
OID50142,False,True,True,True,True,4
OID50143,True,False,False,True,True,3
OID50144,True,True,False,True,True,4
OID50145,False,False,True,True,True,3
OID50146,False,False,False,False,False,0
OID50147,False,False,False,False,False,0
OID50148,False,False,False,False,False,0
OID50149,False,False,False,False,False,0
OID50150,False,True,False,False,False,1
OID50151,False,True,True,True,True,4
OID50152,True,False,True,True,True,4
OID50153,True,True,True,True,True,5
OID50154,False,True,False,True,False,2
OID50156,False,False,True,False,True,2
OID50157,False,True,True,True,True,4
OID50158,True,True,True,True,True,5
OID50159,False,False,False,False,False,0
OID50160,False,False,False,False,False,0
OID50161,False,False,False,False,False,0
OID50162,False,False,False,True,False,1
OID50163,True,True,True,True,True,5
OID50164,False,False,False,False,False,0
OID50165,False,True,True,True,True,4
OID50166,False,False,False,False,False,0
OID50167,True,False,False,False,False,1
OID50168,True,True,True,False,True,4
OID50169,False,False,True,False,False,1
OID50171,True,False,False,False,True,2
OID50173,False,False,False,False,False,0
OID50174,False,False,False,True,False,1
OID50175,False,False,False,False,False,0
OID50176,False,False,False,False,False,0
OID50177,True,True,True,True,False,4
OID50178,False,False,False,False,False,0
OID50179,False,False,True,True,False,2
OID50180,False,False,False,False,False,0
OID50181,False,True,False,False,True,2
OID50182,False,False,False,False,False,0
OID50183,False,False,False,False,False,0
OID50184,False,False,False,True,True,2
OID50185,False,False,False,False,False,0
OID50186,False,False,False,False,False,0
OID50187,False,False,True,False,False,1
OID50188,False,False,True,True,False,2
OID50189,True,False,False,True,False,2
OID50190,False,False,False,False,False,0
OID50191,False,False,True,True,True,3
OID50192,False,False,False,False,False,0
OID50193,False,False,False,False,False,0
OID50194,True,False,False,True,False,2
OID50195,False,False,True,False,False,1
OID50196,False,True,False,True,False,2
OID50197,True,False,False,False,False,1
OID50198,False,False,True,True,True,3
OID50199,False,False,True,False,True,2
OID50200,True,True,False,True,True,4
OID50201,True,False,False,True,False,2
OID50202,False,False,False,False,False,0
OID50203,False,False,False,False,True,1
OID50205,False,True,False,False,True,2
OID50206,True,True,False,False,False,2
OID50207,False,False,False,False,False,0
OID50208,False,True,True,True,False,3
OID50209,False,True,True,False,True,3
OID50210,True,False,False,False,False,1
OID50211,False,False,False,False,False,0
OID50212,False,False,False,True,False,1
OID50213,False,False,False,True,True,2
OID50214,True,False,False,True,True,3
OID50215,False,False,False,False,False,0
OID50216,False,False,False,True,False,1
OID50218,False,False,False,False,False,0
OID50219,True,True,True,True,True,5
