Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons
OID50838,False,False,False,False,False,0
OID50839,True,True,True,False,True,4
OID50840,False,False,False,False,False,0
OID50841,False,False,False,True,True,2
OID50842,False,False,False,False,False,0
OID50843,False,False,False,False,False,0
OID50844,True,False,False,False,False,1
OID50845,False,False,False,False,False,0
OID50846,True,False,False,False,True,2
OID50847,True,False,True,False,True,3
OID50848,False,True,True,True,True,4
OID50849,False,False,False,True,False,1
OID50850,True,False,True,False,False,2
OID50851,False,False,False,False,False,0
OID50852,False,False,False,False,False,0
OID50853,False,False,False,False,False,0
OID50854,False,False,False,False,False,0
OID50855,True,True,True,True,True,5
OID50856,False,False,False,False,True,1
OID50857,False,False,False,False,False,0
OID50858,False,False,False,True,False,1
OID50859,False,False,False,False,True,1
OID50860,False,False,True,False,False,1
OID50861,False,False,True,True,False,2
OID50863,False,True,False,False,False,1
OID50864,True,True,True,False,True,4
OID50865,False,True,False,True,False,2
OID50866,False,True,False,True,True,3
OID50867,False,False,False,False,False,0
OID50868,False,False,True,True,True,3
OID50869,False,True,True,False,True,3
OID50870,False,False,False,True,True,2
OID50871,False,False,False,False,False,0
OID50872,False,False,True,False,False,1
OID50873,True,True,False,False,True,3
OID50874,True,False,False,True,False,2
OID50875,False,True,False,False,False,1
OID50876,True,True,True,True,True,5
OID50877,False,False,False,False,False,0
OID50878,True,True,True,False,True,4
OID50879,False,False,False,False,False,0
OID50880,False,True,True,True,True,4
OID50881,True,True,True,True,True,5
OID50882,True,True,True,True,True,5
OID50883,True,True,True,True,True,5
OID50884,False,False,True,True,False,2
OID50885,True,True,True,False,True,4
OID50886,False,True,True,True,True,4
OID50887,False,True,False,True,True,3
OID50888,False,True,True,True,True,4
OID50889,False,False,True,False,False,1
OID50890,False,False,False,False,False,0
OID50891,False,False,True,False,False,1
OID50892,False,False,False,False,False,0
OID50893,False,False,False,True,False,1
OID50894,True,False,False,True,False,2
OID50895,False,False,False,False,False,0
OID50896,False,False,False,False,False,0
OID50897,False,False,False,False,False,0
OID50898,False,False,True,False,False,1
OID50899,False,True,False,True,True,3
OID50900,False,True,True,False,True,3
OID50901,False,False,False,False,False,0
OID50902,False,False,False,False,False,0
OID50903,True,True,True,True,False,4
OID50904,False,False,True,False,False,1
OID50905,False,False,True,True,False,2
OID50906,False,False,False,False,False,0
OID50907,False,True,True,False,False,2
OID50908,True,True,False,True,True,4
OID50909,False,False,True,False,False,1
OID50910,False,False,True,False,False,1
OID50911,True,False,True,False,True,3
OID50912,False,False,False,False,True,1
OID50913,False,False,False,False,False,0
OID50914,False,False,False,False,False,0
OID50915,False,False,True,False,False,1
OID50916,False,False,False,False,False,0
OID50917,False,True,False,False,False,1
OID50918,False,False,False,False,False,0
OID50919,False,True,False,True,True,3
OID50920,True,False,False,False,False,1
OID50921,False,True,True,True,True,4
OID50922,True,True,True,True,True,5
OID50923,True,True,True,False,True,4
OID50924,False,False,False,False,False,0
OID50925,True,True,True,True,True,5
OID50926,False,False,False,False,True,1
OID50928,False,False,False,False,False,0
OID50929,False,True,True,True,True,4
OID50930,True,True,True,True,True,5
OID50931,False,False,True,True,True,3
OID50932,False,False,False,True,True,2
OID50933,False,False,False,False,False,0
OID50934,False,False,False,True,False,1
OID50935,False,False,False,True,False,1
OID50936,False,False,False,False,False,0
OID50937,False,False,False,False,False,0
OID50938,False,False,False,False,False,0
OID50939,False,False,False,False,False,0
OID50941,False,False,False,False,False,0
OID50942,False,False,False,False,False,0
OID50943,False,False,False,False,False,0
OID50944,False,False,False,False,False,0
OID50945,False,True,True,False,False,2
OID50946,True,False,True,True,True,4
OID50947,False,False,False,False,False,0
OID50948,False,True,True,True,True,4
OID50949,False,True,True,False,False,2
OID50950,False,False,False,False,False,0
OID50951,False,False,False,True,False,1
OID50952,False,True,False,False,False,1
OID50953,True,False,True,True,False,3
OID50954,False,False,False,False,False,0
OID50955,True,False,True,False,True,3
OID50956,True,True,False,True,True,4
OID50957,False,False,False,False,False,0
OID50958,True,True,True,False,False,3
OID50959,True,True,True,True,True,5
OID50960,False,False,True,False,False,1
OID50961,False,True,True,True,False,3
OID50962,True,True,True,False,False,3
OID50963,False,False,True,True,False,2
OID50964,False,False,False,False,False,0
OID50965,False,False,True,False,False,1
OID50966,True,False,False,True,True,3
OID50967,False,False,True,True,False,2
OID50968,False,False,True,True,True,3
OID50970,False,False,False,False,False,0
OID50971,False,True,True,True,True,4
OID50972,False,False,True,True,False,2
OID50973,True,True,True,True,True,5
OID50974,False,False,False,False,False,0
OID50975,False,False,False,True,True,2
OID50976,False,False,False,False,False,0
OID50977,False,False,False,False,False,0
OID50978,False,False,False,False,False,0
OID50979,True,True,True,True,True,5
OID50980,False,False,False,True,True,2
OID50981,False,False,False,False,False,0
OID50983,True,True,False,True,True,4
OID50984,False,False,False,False,False,0
OID50985,False,False,False,False,False,0
OID50986,False,False,True,False,False,1
OID50987,False,False,False,True,False,1
OID50988,True,True,True,True,True,5
OID50989,False,False,False,False,False,0
OID50990,True,True,False,True,True,4
OID50991,True,False,True,True,True,4
OID50993,False,False,True,True,True,3
OID50994,False,False,True,True,True,3
OID50995,False,False,False,True,True,2
OID50996,True,False,False,True,True,3
OID50997,False,False,False,False,True,1
OID50998,False,False,False,False,True,1
OID50999,True,True,True,True,True,5
OID51000,False,False,False,False,False,0
OID51001,True,False,True,True,True,4
OID51002,False,False,True,False,False,1
OID51004,True,True,True,True,True,5
OID51005,False,False,False,False,False,0
OID51006,True,True,True,True,True,5
OID51007,False,True,True,True,True,4
OID51008,False,False,True,False,False,1
OID51009,False,False,False,False,False,0
OID51010,False,False,False,False,False,0
OID51011,False,False,False,False,False,0
OID51012,False,True,True,True,True,4
OID51013,False,False,False,False,False,0
OID51014,False,False,False,False,False,0
OID51017,False,False,True,False,False,1
OID51018,False,False,False,False,False,0
OID51019,False,False,False,False,False,0
OID51020,False,False,True,True,True,3
OID51021,False,True,True,False,True,3
OID51022,False,False,False,True,True,2
OID51023,True,True,True,False,True,4
OID51024,False,True,True,True,True,4
OID51027,False,False,True,False,False,1
OID51029,False,False,False,False,False,0
OID51030,False,True,False,False,True,2
OID51034,False,False,False,False,False,0
OID51035,True,True,True,True,True,5
OID51036,False,False,False,True,False,1
OID51037,False,True,False,True,True,3
OID51038,False,True,True,False,True,3
OID51039,True,True,True,False,True,4
OID51041,True,True,True,True,True,5
OID51042,False,False,True,False,False,1
OID51043,True,False,False,True,False,2
OID51045,True,False,False,True,False,2
OID51047,False,True,True,False,True,3
OID51048,True,True,True,True,True,5
OID51049,True,False,True,False,False,2
OID51052,True,False,False,True,True,3
OID51053,False,False,False,False,False,0
OID51054,True,True,True,True,True,5
OID51055,False,False,True,True,True,3
OID51056,False,False,False,False,False,0
OID51058,False,False,False,False,False,0
OID51059,False,False,False,False,False,0
OID51061,False,True,True,True,True,4
OID51062,False,False,False,False,False,0
OID51064,False,False,False,False,False,0
OID51066,False,False,True,True,True,3
OID51067,False,False,False,False,False,0
OID51068,True,True,True,True,True,5
OID51070,False,False,False,False,False,0
OID51072,True,False,True,True,True,4
OID51073,False,True,False,False,True,2
OID51074,False,False,False,True,False,1
OID51076,False,False,False,True,False,1
OID51077,False,False,False,False,True,1
OID51078,False,False,False,False,False,0
OID51079,False,False,False,False,False,0
OID51082,False,False,False,False,False,0
OID51084,True,True,True,True,True,5
OID51085,False,False,True,True,False,2
OID51086,False,False,False,True,False,1
OID51089,False,False,False,False,False,0
OID51090,False,False,False,False,False,0
OID51091,False,False,False,False,False,0
OID51092,False,False,True,True,True,3
OID51093,False,True,False,True,True,3
OID51094,False,False,False,False,False,0
OID51095,False,False,False,False,False,0
OID51096,True,False,True,True,True,4
OID51097,False,False,False,True,False,1
OID51098,False,False,True,False,False,1
OID51099,False,False,False,False,True,1
OID51100,False,False,False,False,False,0
OID51101,False,False,False,False,False,0
OID51102,True,True,True,True,True,5
OID51103,False,False,False,False,False,0
