Assay	OlinkID	LOD	Missing_data	Below_LOD	Valid_data
FKBP15	OID50160	NA	0	0	1
FLT3	OID50161	NA	0	0	1
FOLH1	OID50162	NA	0	0	1
FOXJ3	OID50163	NA	0	0	1
FOXO3	OID50164	NA	0	0	1
FUS	OID50165	NA	0	0	1
FXYD5	OID50166	NA	0	0	1
FYCO1	OID50167	NA	0	0	1
GALNT3	OID50168	NA	0	0	1
GBP2	OID50169	NA	0	0	1
GCG	OID50171	NA	0	0	1
GDNF	OID50173	NA	0	0	1
GFAP	OID50174	NA	0	0	1
GFER	OID50175	NA	0	0	1
GSTP1	OID50176	NA	0	0	1
HDAC9	OID50177	NA	0	0	1
HIF1A	OID50178	NA	0	0	1
HNRNPA0	OID50179	NA	0	0	1
HPGDS	OID50180	NA	0	0	1
HRAS	OID50181	NA	0	0	1
HS6ST2	OID50182	NA	0	0	1
HSP90B1	OID50183	NA	0	0	1
ICA1	OID50184	NA	0	0	1
IFIT1	OID50185	NA	0	0	1
IFIT3	OID50186	NA	0	0	1
IFNG	OID50187	NA	0	0	1
IL10	OID50188	NA	0	0	1
IL10RA	OID50189	NA	0	0	1
IL11	OID50190	NA	0	0	1
IL12RB1	OID50191	NA	0	0	1
IL13	OID50192	NA	0	0	1
IL15RA	OID50193	NA	0	0	1
IL17A	OID50194	NA	0	0	1
IL17C	OID50195	NA	0	0	1
IL17D	OID50196	NA	0	0	1
IL17F	OID50197	NA	0	0	1
IL1A	OID50198	NA	0	0	1
IL1B	OID50199	NA	0	0	1
IL1RL2	OID50200	NA	0	0	1
IL2	OID50201	NA	0	0	1
IL20	OID50202	NA	0	0	1
IL20RA	OID50203	NA	0	0	1
IL22RA1	OID50205	NA	0	0	1
IL2RB	OID50206	NA	0	0	1
IL31RA	OID50207	NA	0	0	1
IL33	OID50208	NA	0	0	1
IL36B	OID50209	NA	0	0	1
IL3RA	OID50210	NA	0	0	1
IL4	OID50211	NA	0	0	1
IL9	OID50212	NA	0	0	1
IRAK1	OID50213	NA	0	0	1
ITCH	OID50214	NA	0	0	1
ITGB6	OID50215	NA	0	0	1
JTB	OID50216	NA	0	0	1
KIAA0319L	OID50218	NA	0	0	1
KIF4A	OID50219	NA	0	0	1
KIFAP3	OID50220	NA	0	0	1
KIR3DL1	OID50221	NA	0	0	1
KLHL41	OID50222	NA	0	0	1
KLRF1	OID50223	NA	0	0	1
KRT5	OID50224	NA	0	0	1
LIF	OID50225	NA	0	0	1
LILRB4	OID50226	NA	0	0	1
LRRFIP1	OID50227	NA	0	0	1
LRRN1	OID50228	NA	0	0	1
LTBP3	OID50229	NA	0	0	1
MAP3K5	OID50230	NA	0	0	1
MAPKAPK2	OID50231	NA	0	0	1
MAPT	OID50232	NA	0	0	1
MAVS	OID50233	NA	0	0	1
MILR1	OID50234	NA	0	0	1
MINDY2	OID50235	NA	0	0	1
MKI67	OID50236	NA	0	0	1
MMP13	OID50237	NA	0	0	1
MPST	OID50238	NA	0	0	1
MUC13	OID50239	NA	0	0	1
MUC20	OID50240	NA	0	0	1
MVK	OID50241	NA	0	0	1
MYL11	OID50242	NA	0	0	1
MYL3	OID50243	NA	0	0	1
MYO9B	OID50244	NA	0	0	1
NBN	OID50245	NA	0	0	1
NCKIPSD	OID50246	NA	0	0	1
NDUFAF2	OID50247	NA	0	0	1
NDUFS6	OID50248	NA	0	0	1
NECAB2	OID50249	NA	0	0	1
NEFL	OID50250	NA	0	0	1
NFATC3	OID50251	NA	0	0	1
NFKB1	OID50252	NA	0	0	1
NFKBIE	OID50253	NA	0	0	1
NFX1	OID50254	NA	0	0	1
NLGN1	OID50255	NA	0	0	1
NOS1	OID50256	NA	0	0	1
NOS2	OID50257	NA	0	0	1
NOS3	OID50258	NA	0	0	1
NQO1	OID50260	NA	0	0	1
NRTN	OID50261	NA	0	0	1
NUP50	OID50262	NA	0	0	1
ODAM	OID50263	NA	0	0	1
PADI2	OID50264	NA	0	0	1
PADI4	OID50265	NA	0	0	1
PAPPA	OID50266	NA	0	0	1
PARP1	OID50267	NA	0	0	1
PGM2	OID50269	NA	0	0	1
PGR	OID50270	NA	0	0	1
PIKFYVE	OID50271	NA	0	0	1
PJA2	OID50272	NA	0	0	1
PLIN1	OID50273	NA	0	0	1
PNMA1	OID50274	NA	0	0	1
PNPT1	OID50275	NA	0	0	1
POLR3F	OID50276	NA	0	0	1
PPIE	OID50277	NA	0	0	1
PREB	OID50278	NA	0	0	1
PRKAB1	OID50279	NA	0	0	1
PRKAR1B	OID50280	NA	0	0	1
PRKRA	OID50281	NA	0	0	1
PRRC1	OID50282	NA	0	0	1
PSMD5	OID50283	NA	0	0	1
PTEN	OID50284	NA	0	0	1
PTP4A3	OID50285	NA	0	0	1
PXN	OID50286	NA	0	0	1
RAB37	OID50287	NA	0	0	1
RAB44	OID50288	NA	0	0	1
RABGAP1L	OID50289	NA	0	0	1
RAMP2	OID50290	NA	0	0	1
